customer_id,tenure_months,monthly_data_usage_gb,monthly_call_minutes,support_calls,contract_type,churn
177,49,5.4,442.0,1,Postpaid,0
178,52,23.18,176.0,1,Prepaid,1
179,32,11.1,446.0,0,Prepaid,0
180,4,5.66,386.0,1,Prepaid,0
181,30,21.53,391.0,0,Prepaid,0
182,37,9.68,478.0,0,Postpaid,0
183,23,13.22,647.0,1,Postpaid,0
184,39,15.59,448.0,3,Postpaid,0
185,45,17.92,370.0,1,Prepaid,0
186,15,13.5,223.0,1,Postpaid,0
187,43,8.76,50.0,2,Postpaid,0
188,29,13.09,419.0,1,Postpaid,0
189,36,9.9,211.0,2,Prepaid,0
190,13,13.25,50.0,3,Prepaid,1
191,32,20.14,347.0,2,Postpaid,0
192,7,15.78,436.0,0,Postpaid,0
193,59,13.03,512.0,1,Postpaid,0
194,51,15.69,559.0,0,Postpaid,0
195,22,16.05,531.0,2,Postpaid,0
196,28,6.61,535.0,0,Postpaid,0
197,2,12.21,180.0,3,Prepaid,0
198,42,24.81,378.0,2,Postpaid,0
199,45,18.06,487.0,0,Prepaid,1
200,57,9.48,407.0,1,Prepaid,0
201,53,8.98,377.0,1,Postpaid,0
202,6,8.82,404.0,1,Prepaid,0
203,28,16.33,437.0,0,Prepaid,0
204,28,20.04,388.0,3,Prepaid,1
205,44,14.91,273.0,2,Postpaid,0
206,44,12.79,145.0,3,Prepaid,0
207,20,9.78,369.0,1,Prepaid,0
208,30,13.65,409.0,0,Postpaid,0
209,11,7.9,407.0,1,Postpaid,1
210,58,2.32,543.0,1,Prepaid,0
211,55,20.18,570.0,2,Postpaid,1
212,28,6.97,384.0,3,Postpaid,1
213,25,10.38,385.0,0,Prepaid,0
214,39,15.28,486.0,1,Prepaid,0
215,33,19.17,464.0,2,Postpaid,0
216,1,13.29,334.0,2,Postpaid,0
217,57,6.03,499.0,2,Prepaid,0
218,27,10.49,378.0,2,Prepaid,0
219,57,8.61,381.0,1,Prepaid,1
220,52,11.81,465.0,2,Postpaid,1
221,13,18.16,355.0,4,Postpaid,1
222,41,1.0,414.0,1,Postpaid,1
223,3,9.94,445.0,2,Postpaid,1
224,39,9.58,523.0,2,Postpaid,0
225,6,5.72,512.0,1,Postpaid,0
226,8,14.93,440.0,0,Postpaid,0
227,27,4.93,50.0,2,Postpaid,0
228,9,5.5,437.0,0,Prepaid,0
229,37,16.26,460.0,1,Prepaid,0
230,33,19.5,490.0,3,Postpaid,1
231,51,11.62,257.0,2,Postpaid,0
232,42,5.91,82.0,1,Prepaid,1
233,44,8.47,521.0,4,Postpaid,1
234,24,17.04,216.0,1,Postpaid,1
235,15,12.58,583.0,1,Postpaid,0
236,59,11.49,313.0,3,Postpaid,0
237,54,13.57,246.0,1,Prepaid,0
238,32,11.81,452.0,1,Prepaid,0
239,32,19.73,492.0,2,Prepaid,1
240,24,8.25,483.0,1,Postpaid,1
241,41,7.68,475.0,1,Prepaid,0
242,52,5.08,294.0,0,Prepaid,0
243,49,9.3,171.0,6,Postpaid,0
244,49,6.54,342.0,1,Postpaid,1
245,58,13.09,228.0,1,Postpaid,0
246,52,12.1,465.0,1,Postpaid,0
247,12,6.6,531.0,2,Prepaid,0
248,39,14.95,426.0,0,Postpaid,0
249,2,19.58,400.0,1,Postpaid,0
250,3,13.79,353.0,2,Prepaid,0
251,49,1.0,547.0,1,Postpaid,0
252,37,21.94,125.0,2,Postpaid,0
253,49,15.73,219.0,0,Postpaid,0
254,56,21.78,674.0,2,Prepaid,0
255,17,17.45,212.0,0,Postpaid,0
256,59,18.45,480.0,1,Postpaid,0
257,49,13.03,511.0,2,Prepaid,1
258,2,10.69,111.0,3,Postpaid,0
259,2,13.87,140.0,2,Postpaid,0
260,28,8.46,590.0,2,Prepaid,0
261,54,14.17,254.0,3,Postpaid,0
262,23,1.0,258.0,6,Prepaid,0
263,37,12.21,322.0,1,Postpaid,0
264,32,18.72,254.0,2,Postpaid,1
265,33,12.47,479.0,2,Postpaid,0
266,1,20.64,223.0,1,Prepaid,0
267,19,10.68,105.0,0,Prepaid,1
268,2,17.01,573.0,2,Postpaid,0
269,53,7.61,230.0,3,Postpaid,0
270,44,16.81,287.0,2,Postpaid,1
271,26,13.16,524.0,1,Postpaid,1
272,32,10.9,411.0,2,Postpaid,1
273,6,1.0,567.0,3,Prepaid,1
274,32,10.73,527.0,0,Postpaid,0
275,55,13.07,332.0,2,Postpaid,1
276,4,16.14,553.0,4,Prepaid,0
277,55,19.8,425.0,0,Prepaid,1
278,11,22.18,310.0,0,Postpaid,1
279,56,18.23,444.0,1,Postpaid,0
280,59,9.19,204.0,1,Postpaid,0
281,17,10.48,525.0,1,Prepaid,1
282,38,15.69,506.0,2,Postpaid,0
283,24,14.6,418.0,3,Postpaid,1
284,5,20.14,112.0,2,Postpaid,1
285,52,24.4,573.0,1,Postpaid,0
286,34,23.34,466.0,4,Postpaid,0
287,6,19.47,397.0,2,Postpaid,0
288,22,14.64,373.0,1,Postpaid,0
289,11,18.75,319.0,0,Postpaid,0
290,48,20.31,348.0,6,Prepaid,0
291,16,11.26,515.0,1,Prepaid,0
292,33,9.34,322.0,1,Prepaid,0
293,9,8.16,359.0,3,Prepaid,0
294,59,7.62,381.0,2,Postpaid,0
295,6,5.09,385.0,1,Postpaid,0
296,16,13.25,307.0,2,Postpaid,0
297,29,7.0,374.0,0,Postpaid,0
298,3,8.08,451.0,4,Postpaid,1
299,20,15.51,264.0,2,Prepaid,1
300,59,12.91,375.0,3,Prepaid,0
301,36,14.15,690.0,1,Postpaid,0
302,19,18.83,391.0,0,Prepaid,0
303,26,16.32,260.0,1,Prepaid,0
304,3,19.59,243.0,1,Prepaid,1
305,19,12.4,210.0,1,Prepaid,1
306,20,20.06,644.0,1,Prepaid,1
307,32,13.8,551.0,2,Postpaid,0
308,7,12.84,207.0,2,Prepaid,0
309,52,19.31,432.0,3,Prepaid,1
310,41,7.64,584.0,1,Postpaid,0
311,33,22.12,394.0,2,Prepaid,1
312,40,10.59,326.0,2,Postpaid,0
313,39,5.91,736.0,1,Prepaid,0
314,18,15.27,114.0,2,Postpaid,1
315,40,10.11,795.0,3,Postpaid,1
316,1,22.13,409.0,1,Prepaid,1
317,11,9.84,594.0,0,Prepaid,0
318,28,13.57,220.0,3,Prepaid,1
319,57,4.87,291.0,0,Postpaid,0
320,25,16.06,238.0,3,Postpaid,0
321,50,8.11,385.0,1,Prepaid,0
322,23,15.47,446.0,2,Postpaid,1
323,31,9.86,560.0,3,Prepaid,0
324,30,1.77,143.0,1,Postpaid,0
325,42,12.66,424.0,2,Postpaid,0
326,35,12.43,534.0,0,Postpaid,0
327,7,16.41,562.0,3,Postpaid,0
328,16,19.78,334.0,1,Postpaid,0
329,26,21.56,336.0,6,Postpaid,0
330,48,16.32,386.0,4,Postpaid,0
331,57,13.39,428.0,1,Prepaid,0
332,52,4.86,595.0,1,Prepaid,0
333,49,13.01,218.0,4,Prepaid,0
334,2,13.07,282.0,1,Postpaid,0
335,1,11.01,200.0,1,Prepaid,0
336,48,15.16,464.0,0,Prepaid,0
337,12,17.61,565.0,3,Prepaid,0
338,5,7.91,187.0,0,Postpaid,0
339,37,7.83,413.0,3,Postpaid,1
340,32,11.3,554.0,2,Prepaid,1
341,59,8.92,518.0,1,Postpaid,1
342,55,3.79,516.0,0,Prepaid,0
343,9,7.02,222.0,1,Prepaid,0
344,41,5.84,515.0,2,Postpaid,0
345,35,18.04,372.0,2,Postpaid,0
346,19,20.51,561.0,1,Prepaid,1
347,48,6.52,467.0,1,Postpaid,0
348,16,14.73,278.0,1,Prepaid,0
349,3,16.37,442.0,0,Postpaid,0
350,20,4.54,523.0,1,Postpaid,1
351,24,12.8,324.0,4,Postpaid,1
352,54,24.67,419.0,2,Postpaid,0
353,56,15.39,200.0,2,Prepaid,0
354,33,10.77,482.0,2,Postpaid,0
355,24,9.2,392.0,2,Prepaid,0
356,52,1.89,537.0,1,Postpaid,0
357,11,14.35,478.0,4,Postpaid,0
358,49,21.74,339.0,0,Postpaid,0
359,8,7.93,273.0,4,Postpaid,0
360,36,2.32,239.0,0,Prepaid,1
361,38,8.68,324.0,1,Prepaid,0
362,40,16.41,533.0,0,Prepaid,1
363,20,9.86,137.0,2,Postpaid,1
364,35,7.9,245.0,1,Postpaid,1
365,48,12.1,529.0,1,Postpaid,0
366,25,13.15,599.0,2,Prepaid,0
367,35,5.06,253.0,0,Postpaid,0
368,25,10.91,243.0,1,Postpaid,0
369,29,9.51,611.0,1,Postpaid,0
370,18,8.8,381.0,2,Postpaid,0
371,46,6.91,266.0,0,Prepaid,0
372,18,16.71,557.0,2,Postpaid,0
373,2,8.78,476.0,1,Postpaid,0
374,54,2.03,510.0,2,Prepaid,1
375,35,13.32,274.0,1,Postpaid,1
376,16,15.63,456.0,0,Postpaid,0
377,41,8.02,587.0,3,Postpaid,0
378,36,9.2,496.0,1,Postpaid,0
379,33,8.75,538.0,3,Postpaid,0
380,4,10.27,610.0,0,Prepaid,0
381,33,17.53,464.0,1,Postpaid,1
382,14,11.43,315.0,1,Prepaid,0
383,21,16.2,532.0,1,Postpaid,0
384,48,7.16,234.0,0,Prepaid,0
385,20,10.08,367.0,2,Prepaid,0
386,56,16.77,488.0,0,Postpaid,1
387,8,7.97,50.0,0,Prepaid,0
388,7,17.06,438.0,1,Prepaid,1
389,3,8.86,445.0,1,Postpaid,0
390,17,10.39,230.0,0,Prepaid,0
391,33,20.35,449.0,1,Prepaid,0
392,48,9.82,428.0,3,Prepaid,0
393,12,12.73,405.0,1,Postpaid,0
394,59,15.08,578.0,2,Prepaid,1
395,51,13.13,532.0,3,Postpaid,1
396,22,13.28,496.0,3,Prepaid,1
397,55,11.72,246.0,0,Prepaid,0
398,22,5.49,397.0,2,Prepaid,0
399,46,13.74,578.0,1,Postpaid,0
400,30,8.34,368.0,1,Postpaid,0
401,38,15.88,633.0,1,Prepaid,0
402,38,18.86,500.0,3,Prepaid,0
403,45,2.97,656.0,0,Postpaid,0
404,51,18.87,240.0,0,Postpaid,0
405,54,9.94,377.0,0,Prepaid,1
406,8,11.35,391.0,0,Prepaid,0
407,27,7.44,491.0,0,Postpaid,0
408,27,12.94,289.0,5,Postpaid,1
409,34,12.33,159.0,0,Prepaid,0
410,21,17.38,457.0,0,Prepaid,1
411,30,8.29,345.0,4,Postpaid,0
412,33,20.3,329.0,1,Prepaid,0
413,28,15.32,296.0,3,Prepaid,1
414,47,12.45,419.0,1,Postpaid,1
415,33,11.1,238.0,1,Postpaid,1
416,5,10.47,371.0,0,Postpaid,1
417,48,10.79,276.0,2,Postpaid,0
418,19,12.84,309.0,2,Postpaid,1
419,4,10.96,453.0,0,Prepaid,1
420,35,8.8,498.0,3,Prepaid,0
421,49,12.87,354.0,2,Prepaid,1
422,17,7.82,545.0,2,Postpaid,1
423,44,13.61,254.0,2,Postpaid,0
424,28,10.88,172.0,2,Prepaid,0
425,30,15.48,200.0,3,Prepaid,1
426,29,16.95,239.0,2,Postpaid,0
427,46,16.94,203.0,3,Prepaid,0
428,53,13.59,703.0,2,Postpaid,0
429,6,14.17,167.0,3,Postpaid,0
430,35,10.39,541.0,3,Prepaid,0
431,41,15.39,396.0,0,Prepaid,0
432,37,15.95,434.0,0,Prepaid,0
433,24,4.16,264.0,1,Prepaid,1
434,29,13.89,449.0,3,Postpaid,1
435,49,18.84,263.0,2,Prepaid,0
436,46,10.22,538.0,1,Postpaid,0
437,53,9.13,551.0,0,Postpaid,0
438,31,9.9,380.0,3,Postpaid,0
439,35,4.48,390.0,3,Postpaid,0
440,33,12.63,465.0,2,Prepaid,0
441,52,12.15,457.0,0,Prepaid,0
442,21,12.99,554.0,1,Postpaid,0
443,32,14.08,549.0,1,Prepaid,0
444,23,8.01,396.0,0,Prepaid,0
445,33,13.37,328.0,2,Postpaid,0
446,3,14.22,522.0,2,Prepaid,0
447,18,9.56,377.0,0,Prepaid,0
448,25,14.1,417.0,1,Postpaid,0
449,42,12.4,480.0,0,Prepaid,0
450,31,8.84,546.0,3,Prepaid,0
451,54,13.41,439.0,1,Prepaid,1
452,58,10.55,312.0,0,Postpaid,0
453,3,15.49,670.0,3,Postpaid,1
454,40,10.8,630.0,0,Postpaid,0
455,46,5.55,247.0,0,Prepaid,1
456,24,13.33,263.0,1,Prepaid,0
457,50,13.15,282.0,2,Postpaid,0
458,32,6.59,527.0,0,Postpaid,1
459,47,15.75,675.0,1,Postpaid,0
460,22,15.49,324.0,0,Postpaid,1
461,23,7.65,425.0,1,Postpaid,0
462,2,8.7,287.0,1,Prepaid,0
463,27,11.29,655.0,3,Prepaid,1
464,42,8.21,524.0,4,Postpaid,0
465,2,15.2,276.0,3,Prepaid,0
466,26,12.74,85.0,1,Prepaid,0
467,17,6.53,556.0,4,Postpaid,1
468,40,7.89,314.0,1,Prepaid,0
469,33,17.94,526.0,2,Prepaid,0
470,9,19.68,444.0,1,Postpaid,1
471,43,14.69,125.0,0,Prepaid,0
472,54,10.94,279.0,1,Postpaid,0
473,48,9.8,347.0,0,Prepaid,1
474,39,14.75,299.0,1,Postpaid,1
475,29,12.38,417.0,1,Prepaid,0
476,42,3.95,460.0,2,Postpaid,1
477,55,17.16,668.0,1,Prepaid,1
478,26,18.73,471.0,3,Postpaid,1
479,35,15.69,624.0,2,Postpaid,0
480,50,6.54,328.0,0,Prepaid,0
481,25,8.82,575.0,4,Prepaid,0
482,24,2.71,343.0,1,Postpaid,0
483,13,19.98,262.0,2,Prepaid,0
484,58,10.22,256.0,0,Postpaid,0
485,7,23.67,50.0,1,Prepaid,0
486,57,21.78,528.0,2,Postpaid,1
487,36,7.48,206.0,2,Postpaid,0
488,45,8.46,611.0,1,Prepaid,0
489,20,14.33,374.0,2,Prepaid,0
490,1,3.23,167.0,2,Prepaid,0
491,8,9.81,232.0,0,Postpaid,0
492,46,9.31,429.0,5,Postpaid,1
493,16,21.26,118.0,1,Postpaid,0
494,14,12.81,488.0,1,Prepaid,0
495,12,10.58,173.0,3,Prepaid,0
496,51,8.84,289.0,0,Postpaid,0
497,23,16.47,430.0,2,Postpaid,0
498,15,9.52,470.0,3,Prepaid,0
499,28,11.75,520.0,2,Postpaid,1
500,34,8.8,204.0,2,Prepaid,0
501,2,4.41,354.0,1,Postpaid,0
502,32,7.02,564.0,2,Prepaid,0
503,23,9.49,354.0,1,Postpaid,0
504,22,10.68,444.0,3,Postpaid,0
505,51,10.9,424.0,1,Postpaid,0
506,25,11.56,595.0,0,Postpaid,1
507,58,9.56,330.0,1,Prepaid,0
508,22,18.75,192.0,1,Postpaid,0
509,58,16.74,255.0,1,Postpaid,0
510,58,11.32,428.0,0,Prepaid,0
511,22,13.27,165.0,0,Postpaid,0
512,49,10.14,318.0,1,Postpaid,0
513,52,1.0,411.0,0,Prepaid,0
514,42,12.1,285.0,0,Postpaid,0
515,6,13.53,449.0,4,Postpaid,0
516,15,3.94,509.0,2,Prepaid,1
517,54,14.5,468.0,2,Postpaid,1
518,43,10.6,168.0,4,Prepaid,0
519,37,13.69,412.0,1,Prepaid,0
520,33,10.75,424.0,0,Postpaid,0
521,8,18.25,343.0,1,Postpaid,1
522,53,13.13,447.0,2,Postpaid,0
523,44,17.01,442.0,0,Postpaid,0
524,44,17.42,386.0,3,Postpaid,0
525,5,6.4,249.0,1,Postpaid,1
526,39,8.3,396.0,3,Postpaid,0
527,4,14.26,680.0,2,Postpaid,0
528,6,10.17,341.0,2,Postpaid,1
529,45,10.81,557.0,2,Postpaid,0
530,32,18.43,406.0,1,Prepaid,0
531,52,10.45,280.0,1,Postpaid,0
532,30,7.16,356.0,2,Postpaid,1
533,47,7.83,397.0,1,Prepaid,0
534,35,22.91,498.0,1,Postpaid,0
535,55,11.11,757.0,2,Postpaid,0
536,40,5.18,408.0,0,Prepaid,0
537,52,3.15,215.0,1,Postpaid,0
538,16,8.88,152.0,2,Prepaid,0
539,13,11.02,337.0,0,Postpaid,0
540,50,16.75,231.0,0,Prepaid,0
541,42,16.26,484.0,1,Prepaid,0
542,30,11.97,485.0,2,Prepaid,0
543,19,9.73,378.0,0,Postpaid,0
544,17,13.7,499.0,2,Prepaid,1
545,56,3.26,410.0,1,Postpaid,1
546,19,21.91,680.0,1,Prepaid,0
547,28,15.27,494.0,2,Postpaid,0
548,58,16.33,534.0,1,Postpaid,0
549,55,6.63,183.0,0,Postpaid,0
550,26,18.41,224.0,1,Prepaid,0
551,37,9.7,472.0,0,Prepaid,0
552,26,7.24,168.0,2,Postpaid,1
553,53,11.8,306.0,1,Postpaid,1
554,23,11.69,577.0,1,Prepaid,1
555,9,6.61,303.0,3,Prepaid,0
556,12,7.53,219.0,2,Postpaid,1
557,53,7.13,500.0,1,Prepaid,0
558,1,7.18,711.0,3,Prepaid,1
559,58,10.06,279.0,1,Postpaid,0
560,58,5.06,584.0,0,Postpaid,0
561,1,8.54,260.0,2,Postpaid,0
562,47,17.23,383.0,1,Prepaid,0
563,34,16.12,390.0,1,Postpaid,0
564,32,6.75,283.0,0,Prepaid,1
565,54,16.79,531.0,0,Prepaid,0
566,48,2.17,169.0,2,Postpaid,0
567,25,24.15,429.0,1,Postpaid,0
568,40,18.5,561.0,2,Postpaid,0
569,45,9.2,519.0,1,Postpaid,0
570,53,13.91,474.0,2,Prepaid,0
571,1,5.0,638.0,1,Prepaid,0
572,16,12.3,367.0,1,Postpaid,1
573,39,11.08,171.0,2,Postpaid,1
574,5,7.83,420.0,3,Prepaid,0
575,22,9.66,381.0,2,Postpaid,1
576,29,9.17,83.0,1,Postpaid,0
577,55,6.34,231.0,4,Postpaid,1
578,3,7.71,212.0,0,Postpaid,0
579,12,4.79,278.0,1,Postpaid,0
580,26,16.29,347.0,2,Postpaid,0
581,16,7.34,353.0,2,Prepaid,1
582,51,5.89,283.0,0,Prepaid,0
583,37,16.21,212.0,3,Postpaid,0
584,22,13.85,457.0,2,Prepaid,1
585,57,16.02,417.0,0,Postpaid,0
586,29,16.58,422.0,0,Postpaid,0
587,14,21.69,667.0,0,Prepaid,1
588,28,11.22,424.0,1,Postpaid,1
589,5,4.71,345.0,2,Postpaid,1
590,47,13.36,384.0,2,Prepaid,0
591,49,8.65,415.0,3,Postpaid,0
592,30,7.21,492.0,0,Postpaid,0
593,46,12.5,393.0,2,Postpaid,0
594,52,16.33,109.0,2,Prepaid,0
595,5,7.82,334.0,0,Postpaid,1
596,12,18.37,400.0,0,Prepaid,1
597,16,7.05,596.0,4,Postpaid,1
598,26,10.78,282.0,0,Prepaid,0
599,26,13.93,155.0,2,Postpaid,0
600,48,10.06,410.0,2,Prepaid,0
601,21,3.12,530.0,1,Prepaid,0
602,39,16.64,341.0,1,Prepaid,0
603,36,8.88,757.0,3,Postpaid,0
604,33,15.72,722.0,0,Prepaid,0
605,30,5.68,389.0,1,Postpaid,0
606,37,6.53,428.0,2,Prepaid,0
607,23,16.31,605.0,4,Postpaid,0
608,58,13.7,387.0,0,Postpaid,0
609,10,9.81,279.0,0,Prepaid,0
610,54,13.78,533.0,2,Prepaid,0
611,5,7.23,470.0,1,Prepaid,0
612,36,12.55,279.0,1,Postpaid,0
613,34,12.64,442.0,1,Prepaid,0
614,52,10.13,376.0,0,Postpaid,1
615,31,7.82,342.0,0,Prepaid,0
616,10,12.35,282.0,2,Postpaid,1
617,58,11.73,418.0,2,Postpaid,0
618,19,9.67,360.0,4,Prepaid,0
619,58,6.83,443.0,1,Postpaid,0
620,32,12.06,523.0,1,Postpaid,1
621,1,9.68,435.0,2,Prepaid,0
622,56,6.83,437.0,2,Postpaid,1
623,5,12.22,319.0,2,Prepaid,1
624,45,20.04,576.0,0,Postpaid,0
625,4,10.17,273.0,2,Prepaid,0
626,16,19.49,158.0,1,Postpaid,1
627,24,22.57,239.0,2,Prepaid,0
628,16,7.23,555.0,3,Postpaid,0
629,55,12.05,469.0,2,Postpaid,0
630,2,22.52,597.0,1,Prepaid,0
631,49,11.39,202.0,0,Prepaid,0
632,28,12.18,748.0,2,Postpaid,1
